CustomerID,Customer Category,Affiliation Date,Conversion Date
426674,Regular,11/2/2016,11/7/2016
426835,Regular,11/2/2016,11/7/2016
426869,Regular,11/2/2016,11/7/2016
427091,Regular,11/2/2016,11/7/2016
427111,Regular,11/2/2016,11/7/2016
427251,Regular,11/2/2016,11/7/2016
427293,Regular,11/2/2016,11/7/2016
427631,Regular,11/2/2016,11/7/2016
427956,Regular,11/2/2016,11/7/2016
428247,Regular,11/2/2016,11/7/2016
428741,Regular,11/2/2016,11/7/2016
429805,Regular,11/2/2016,11/7/2016
430280,Regular,11/2/2016,11/7/2016
430289,Regular,11/2/2016,11/7/2016
430335,Regular,11/2/2016,11/7/2016
431454,Regular,11/2/2016,11/7/2016
431684,Regular,11/2/2016,11/7/2016
431724,Regular,11/2/2016,11/7/2016
431813,Regular,11/2/2016,11/7/2016
432011,Regular,11/2/2016,11/7/2016
433151,Regular,11/2/2016,11/7/2016
433225,Regular,11/2/2016,11/7/2016
433302,Regular,11/2/2016,11/7/2016
433546,Regular,11/2/2016,11/7/2016
433580,Regular,11/2/2016,11/7/2016
434049,Regular,11/2/2016,11/7/2016
434221,Regular,11/2/2016,11/7/2016
435068,Regular,11/2/2016,11/7/2016
435522,Regular,11/2/2016,11/7/2016
435577,Regular,11/2/2016,11/7/2016
435634,Regular,11/2/2016,11/7/2016
435730,Regular,11/2/2016,11/7/2016
436043,Regular,11/2/2016,11/7/2016
436817,Regular,11/2/2016,11/7/2016
437185,Regular,11/2/2016,11/7/2016
437379,Regular,11/2/2016,11/7/2016
437451,Regular,11/2/2016,11/7/2016
437955,Regular,11/2/2016,11/7/2016
438132,Regular,11/2/2016,11/7/2016
502022,Regular,11/2/2016,11/7/2016
100790,Regular,11/2/2016,11/7/2016
101420,Key,11/2/2016,11/9/2016
100151,Regular,11/2/2016,6/20/2017
100283,Key,11/2/2016,2/25/2017
101424,Key,11/3/2016,3/18/2017
104105,Key,11/4/2016,11/10/2016
100220,Regular,11/5/2016,2/21/2019
104345,Regular,11/7/2016,11/22/2016
100210,Key,11/8/2016,11/12/2016
100243,Key,11/9/2016,12/20/2016
104079,Regular,11/10/2016,11/16/2016
104165,Key,11/10/2016,11/19/2016
100112,Regular,11/10/2016,11/16/2016
