Distributor ID,Distributor Name,DistributionCenterID,DistributionCenter Name
42,DISTRIBUIDOR 1,45,CEDIS 1
36,DISTRIBUIDOR 2,70,CEDIS 1
36,DISTRIBUIDOR 2,35,CEDIS 2
36,DISTRIBUIDOR 2,119,CEDIS 3
36,DISTRIBUIDOR 2,120,CEDIS 4
36,DISTRIBUIDOR 2,82,CEDIS 5
36,DISTRIBUIDOR 2,109,CEDIS 6
36,DISTRIBUIDOR 2,106,CEDIS 7
36,DISTRIBUIDOR 2,110,CEDIS 8
36,DISTRIBUIDOR 2,69,CEDIS 9
36,DISTRIBUIDOR 2,107,CEDIS 10
36,DISTRIBUIDOR 2,95,CEDIS 11
36,DISTRIBUIDOR 2,118,CEDIS 12
36,DISTRIBUIDOR 2,61,CEDIS 13
36,DISTRIBUIDOR 2,108,CEDIS 14
36,DISTRIBUIDOR 2,60,CEDIS 15
36,DISTRIBUIDOR 2,49,CEDIS 16
36,DISTRIBUIDOR 2,80,CEDIS 17
36,DISTRIBUIDOR 2,48,CEDIS 18
36,DISTRIBUIDOR 2,47,CEDIS 19
36,DISTRIBUIDOR 2,111,CEDIS 20
36,DISTRIBUIDOR 2,81,CEDIS 21
